,R[t],IAT[t],IAT[t-1],IATC[t],IATC[t-1],BD[t],BD[t-1],BDC[t],BDC[t-1]
2015-04-29,0.005966,2.048208083,2.287938433,0,0,1.329848526,1.383964038,0,0
2015-04-30,0.095736,2.007459724,2.048208083,0,0,1.442365927,1.329848526,1,0
2015-05-04,0.049485,2.425724231,2.007459724,1,0,2.193553531,1.442365927,1,1
2015-05-05,-0.002701,2.476664284,2.425724231,1,1,1.615964204,2.193553531,0,1
2015-05-06,0.01379,2.205502642,2.476664284,0,1,1.510947962,1.615964204,0,0
2015-05-07,-0.055137,2.078037429,2.205502642,0,0,1.316453597,1.510947962,0,0
2015-05-08,0.06581,1.648025315,2.078037429,0,0,1.254836925,1.316453597,0,0
2015-05-11,0.100096,2.822546594,1.648025315,1,0,1.502375208,1.254836925,1,0
2015-05-12,-0.023679,2.520331131,2.822546594,0,1,1.608998841,1.502375208,1,1
2015-05-13,-0.043791,2.390822055,2.520331131,0,0,1.40807491,1.608998841,0,1
2015-05-14,-0.058243,2.236952347,2.390822055,0,0,1.43432897,1.40807491,1,0
2015-05-15,0.010723,1.978495798,2.236952347,0,0,1.359853166,1.43432897,0,1
2015-05-18,-0.015791,2.297338359,1.978495798,1,0,1.413968678,1.359853166,1,0
2015-05-19,0.027074,2.414602673,2.297338359,1,1,1.642218264,1.413968678,1,1
2015-05-20,0.009519,2.7570141,2.414602673,1,1,1.483086511,1.642218264,0,1
2015-05-21,0.03941,2.541607556,2.7570141,0,1,1.410753895,1.483086511,0,0
2015-05-22,-0.056757,2.301149887,2.541607556,0,0,1.658827976,1.410753895,1,0
2015-05-25,-0.015043,2.237725701,2.301149887,0,0,1.695262182,1.658827976,1,1
2015-05-26,0.096395,2.623141101,2.237725701,1,0,1.940657276,1.695262182,1,1
2015-05-27,-0.008906,3.328292102,2.623141101,1,1,1.924047565,1.940657276,0,1
2015-05-28,-0.06682,2.858829758,3.328292102,0,1,1.734911171,1.924047565,0,0
2015-05-29,0.007407,2.523139141,2.858829758,0,0,1.852250747,1.734911171,1,0
2015-06-01,0.084314,2.671263938,2.523139141,1,0,1.805100598,1.852250747,1,1
2015-06-02,0.09991,2.506226638,2.671263938,0,1,2.027456415,1.805100598,1,1
2015-06-03,0.052199,2.52443727,2.506226638,1,0,2.4437708,2.027456415,1,1
2015-06-04,-0.035156,2.887692412,2.52443727,1,1,2.65808966,2.4437708,1,1
2015-06-05,-0.030162,2.159653833,2.887692412,0,1,2.614154294,2.65808966,0,1
2015-06-08,-0.050929,2.460773712,2.159653833,1,0,2.498957906,2.614154294,1,0
2015-06-09,-0.023752,2.716422253,2.460773712,1,1,2.416445145,2.498957906,0,1
2015-06-10,0.059022,2.134547467,2.716422253,0,1,2.111576567,2.416445145,0,0
2015-06-11,-0.044671,1.960064208,2.134547467,0,0,2.232666723,2.111576567,1,0
2015-06-12,0.001113,2.003602164,1.960064208,1,0,1.925654956,2.232666723,0,1
2015-06-15,-0.100089,2.110435413,2.003602164,1,1,3.151023038,1.925654956,1,0
2015-06-16,-0.100099,2.299078404,2.110435413,1,1,2.97581737,3.151023038,0,1
2015-06-17,0.064543,2.482464434,2.299078404,1,1,2.375724562,2.97581737,0,0
2015-06-18,-0.100103,2.068683535,2.482464434,0,1,2.696667055,2.375724562,1,0
2015-06-19,0.045872,1.560397009,2.068683535,0,0,2.431447466,2.696667055,0,1
2015-06-23,0.036184,2.215565443,1.560397009,1,0,1.981913657,2.431447466,1,0
2015-06-24,-0.018254,2.088919616,2.215565443,0,1,1.877433213,1.981913657,0,1
2015-06-25,-0.034492,2.178545752,2.088919616,1,0,1.925654956,1.877433213,1,0
2015-06-26,-0.099916,1.417777752,2.178545752,0,1,1.64489725,1.925654956,0,1
2015-06-29,-0.099845,1.976792579,1.417777752,1,0,2.047280909,1.64489725,1,0
2015-06-30,0.053049,1.933098111,1.976792579,0,1,2.14479599,2.047280909,1,1
2015-07-01,-0.018646,2.190707655,1.933098111,1,0,1.860823501,2.14479599,0,1
2015-07-02,-0.070334,1.636075164,2.190707655,0,1,1.688832616,1.860823501,0,0
2015-07-03,-0.066092,2.200218061,1.636075164,1,0,1.617571595,1.688832616,0,0
2015-07-06,-0.046154,2.007616236,2.200218061,0,1,2.197839908,1.617571595,1,0
2015-07-14,0.1,2.13737389,2.007616236,1,0,1.486301293,2.197839908,1,1
2015-07-15,-0.013196,1.954945345,2.13737389,0,1,1.768666391,1.486301293,1,1
2015-07-16,0.050892,1.64040226,1.954945345,0,0,1.547917966,1.768666391,0,1
2015-07-17,0.099328,1.630394699,1.64040226,0,0,1.462726219,1.547917966,0,0
2015-07-20,0.020579,1.906951401,1.630394699,1,0,2.026920618,1.462726219,1,0
2015-07-21,0.036232,1.811598767,1.906951401,0,1,1.675973484,2.026920618,0,1
2015-07-22,-0.007905,1.986275365,1.811598767,1,0,1.829747266,1.675973484,1,0
2015-07-23,0.026356,1.772756172,1.986275365,0,1,1.876897416,1.829747266,1,1
2015-07-24,-0.045387,1.759167248,1.772756172,0,0,1.580601592,1.876897416,0,1
2015-07-27,-0.077886,1.489405008,1.759167248,0,0,1.47558535,1.580601592,1,0
2015-07-28,-0.053596,1.617441029,1.489405008,1,0,1.424684621,1.47558535,0,1
